ranking,World Rank,University,Det.,Country,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
326,1295,(3) University of Maryland Center for Environmental Science,,,4035,1626,849,1715
327,1295,University of Saint Thomas Saint Paul,,,2534,716,1325,2405
328,1295,University of the Pacific,,,2403,824,1981,2105
329,1308,Bentley University,,,4125,846,969,2312
330,1325,(3) Stony Brook Medicine,,,3823,2647,1129,1293
331,1335,Adelphi University,,,3203,831,1307,2368
332,1339,Elon University,,,2012,672,1959,2471
333,1339,Seattle University,,,3312,682,1560,2500
334,1343,Pomona College,,,3167,612,1801,2547
335,1343,Claremont Graduate University,,,6311,1063,873,2184
336,1352,Texas A&M University Corpus Christi,,,3007,1064,1480,2123
337,1361,Jackson State University,,,6823,1489,1442,1747
338,1362,Macalester College,,,2703,717,2047,2418
339,1363,West Chester University of Pennsylvania,,,3251,877,1734,2268
340,1373,University of Northern Colorado,,,3921,830,1781,2294
341,1377,(3) University of Minnesota Duluth,,,2772,2622,847,1532
342,1379,Pepperdine University,,,2858,476,1601,2900
343,1380,Hampton University,,,5622,1760,3350,1299
344,1386,Bard College,,,1945,535,2198,2729
345,1393,Indiana State University,,,2290,761,2068,2428
346,1398,Kenyon College,,,2331,685,2944,2357
347,1409,Tennessee Technological University,,,3868,1173,1760,2043
348,1426,Simmons College,,,2285,784,2246,2418
349,1435,Loyola University Maryland,,,4431,917,1566,2357
350,1438,Colgate University,,,3117,1014,1478,2349
351,1438,Desert Research Institute,,,3690,1757,1496,1790
352,1448,Vassar College,,,1917,548,2109,2842
353,1452,Ithaca College,,,1369,482,1721,3122
354,1452,University of West Florida,,,4110,756,1742,2568
355,1458,College of New Jersey,,,3318,1002,1577,2375
356,1458,Reed College,,,2789,762,1896,2595
357,1462,State University of New York at New Paltz,,,2817,1214,2022,2089
358,1463,Albany Medical College,,,7347,3126,1635,1216
359,1467,Harvey Mudd College,,,3350,589,1823,2834
360,1469,California State University San Bernardino,,,2852,804,1625,2637
361,1477,California Polytechnic State University Cal Poly Pomona,,,1646,1697,1363,2043
362,1481,Youngstown State University,,,2883,1077,2262,2218
363,1483,Long Island University,,,5082,1095,1648,2268
364,1489,Indiana University of Pennsylvania,,,2340,651,2094,2785
365,1493,Utah Valley University,,,3637,1438,2445,1909
366,1505,Western Carolina University,,,3225,808,1656,2696
367,1510,California State University San Marcos,,,3420,937,1879,2500
368,1510,Hobart and William Smith Colleges,,,2629,879,3070,2324
369,1515,Bates College,,,2012,602,2309,2879
370,1516,Morgan State University,,,6566,1207,1538,2222
371,1516,South Dakota School of Mines & Technology,,,5480,1990,1851,1720
372,1519,Gettysburg College,,,2563,628,2319,2834
373,1519,Calvin University,,,2789,430,2279,3189
374,1525,Lafayette College,,,2274,1012,1877,2512
375,1528,Skidmore College,,,3062,795,2429,2582
376,1531,Suffolk University,,,4674,926,1526,2609
377,1531,Occidental College,,,4002,650,2070,2819
378,1539,(3) University of Florida Health,,,2906,2399,7356,502
379,1544,Illinois State University,,,1797,513,7356,1453
380,1548,University of Wisconsin Eau Claire,,,3172,697,2062,2842
381,1551,Eastern Illinois University,,,2121,673,2452,2842
382,1554,University of Wisconsin Oshkosh,,,2613,764,2216,2763
383,1567,University of North Texas Health Science Center,,,4049,3495,1020,1523
384,1571,Florida Gulf Coast University,,,3672,1089,1431,2623
385,1576,Hope College,,,2269,707,2232,2914
386,1577,Eastern Kentucky University,,,2128,817,2714,2687
387,1578,Dickinson College,,,1657,574,2627,3068
388,1584,Furman University,,,2370,733,2619,2804
389,1594,City College of New York CUNY,,,3666,7934,440,800
390,1599,California State University East Bay,,,3927,1146,1433,2595
391,1605,University of Wisconsin Whitewater,,,2906,1091,1790,2623
392,1614,Monmouth University,,,3868,661,2322,2973
